type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
CSR_apr_Hybrid,12995,0.15,4,8,67.147,2.045,6.359,0.673,5.686,58.742,1.660,57.082,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,92.189,2.121,6.287,1.686,4.601,83.782,1.126,82.656,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,70.258,2.075,5.803,0.589,5.215,62.379,1.075,61.304,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,73.188,1.964,7.925,0.926,6.999,63.299,1.281,62.018,1493498344163.000
CSR_apr_Hybrid,10317,0.15,8,2,61.280,1.297,5.137,0.372,4.765,54.847,0.928,53.918,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,51.635,1.112,4.318,0.509,3.810,46.204,1.111,45.093,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,59.917,1.347,4.158,0.966,3.192,54.412,0.865,53.547,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,51.651,1.480,3.964,0.636,3.327,46.208,0.913,45.294,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,54.770,1.457,3.745,0.436,3.309,49.568,1.216,48.352,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,57.310,1.370,4.201,0.417,3.784,51.738,1.096,50.642,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,61.252,1.391,4.690,0.368,4.322,55.172,0.945,54.227,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,61.978,1.379,3.951,0.444,3.508,56.648,2.003,54.645,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,54.436,1.477,4.087,0.390,3.697,48.872,1.717,47.155,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,61.197,1.306,3.471,0.341,3.130,56.420,1.882,54.538,747379617060.000
CSR_apr_Hybrid,12995,0.15,8,4,76.578,2.126,7.165,0.577,6.588,67.287,0.920,66.367,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,60.717,2.159,6.395,0.708,5.687,52.162,1.012,51.151,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,70.857,2.305,7.331,1.057,6.275,61.221,1.937,59.284,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,69.539,1.918,6.712,0.570,6.141,60.909,1.995,58.914,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,69.333,2.177,7.293,0.736,6.557,59.863,3.028,56.834,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,65.145,2.173,5.035,0.663,4.372,57.936,3.001,54.936,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,66.252,2.300,6.012,0.812,5.200,57.940,2.072,55.868,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,92.268,2.119,7.327,1.264,6.064,82.822,1.199,81.623,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,94.829,2.422,7.458,0.763,6.695,84.949,1.794,83.155,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,61.991,1.893,7.346,0.921,6.425,52.752,1.431,51.321,1493498344163.000
CSR_apr_MPI,10317,0.15,16,1,59.449,1.183,4.833,0.340,4.493,53.433,0.512,52.921,747379617060.000
CSR_apr_MPI,10317,0.15,16,1,48.978,1.266,5.709,0.386,5.324,42.003,0.596,41.408,747379617060.000
CSR_apr_MPI,10317,0.15,16,1,51.973,1.370,4.648,0.687,3.961,45.956,0.522,45.434,747379617060.000
CSR_apr_MPI,10317,0.15,16,1,43.957,1.365,4.166,0.467,3.699,38.426,0.550,37.876,747379617060.000
CSR_apr_MPI,10317,0.15,16,1,50.412,1.438,4.117,0.391,3.726,44.857,0.591,44.266,747379617060.000
CSR_apr_MPI,10317,0.15,16,1,47.582,1.267,4.059,0.389,3.670,42.256,0.553,41.703,747379617060.000
CSR_apr_MPI,10317,0.15,16,1,47.107,1.369,4.191,0.417,3.774,41.547,0.532,41.015,747379617060.000
CSR_apr_MPI,10317,0.15,16,1,48.974,1.352,4.651,0.390,4.261,42.971,0.523,42.448,747379617060.000
CSR_apr_MPI,10317,0.15,16,1,43.113,1.336,3.811,0.389,3.422,37.966,0.558,37.408,747379617060.000
CSR_apr_MPI,10317,0.15,16,1,44.924,1.424,3.632,0.379,3.252,39.868,0.556,39.312,747379617060.000
CSR_apr_MPI,5159,0.15,2,1,39.116,0.316,0.683,0.103,0.580,38.117,0.118,37.999,93449968333.000
CSR_apr_MPI,5159,0.15,2,1,33.191,0.316,0.545,0.096,0.449,32.331,0.109,32.221,93449968333.000
CSR_apr_MPI,5159,0.15,2,1,34.893,0.336,0.624,0.142,0.482,33.932,0.152,33.780,93449968333.000
CSR_apr_MPI,5159,0.15,2,1,32.482,0.325,0.638,0.153,0.484,31.519,0.111,31.408,93449968333.000
CSR_apr_MPI,5159,0.15,2,1,34.231,0.322,0.618,0.140,0.477,33.291,0.111,33.180,93449968333.000
CSR_apr_MPI,5159,0.15,2,1,34.625,0.332,0.614,0.154,0.459,33.679,0.116,33.563,93449968333.000
CSR_apr_MPI,5159,0.15,2,1,30.837,0.345,0.678,0.138,0.540,29.814,0.132,29.681,93449968333.000
CSR_apr_MPI,5159,0.15,2,1,37.362,0.317,0.694,0.102,0.592,36.352,0.147,36.204,93449968333.000
CSR_apr_MPI,5159,0.15,2,1,40.437,0.316,0.599,0.097,0.502,39.522,0.105,39.418,93449968333.000
CSR_apr_MPI,5159,0.15,2,1,40.244,0.318,0.607,0.114,0.493,39.319,0.116,39.203,93449968333.000
CSR_apr_MPI,12995,0.15,32,1,63.095,2.020,7.718,0.622,7.096,53.356,0.972,52.384,1493498344163.000
CSR_apr_MPI,12995,0.15,32,1,92.517,2.267,9.929,0.719,9.210,80.321,1.210,79.111,1493498344163.000
CSR_apr_MPI,12995,0.15,32,1,57.216,2.392,6.861,0.590,6.271,47.963,1.145,46.818,1493498344163.000
CSR_apr_MPI,12995,0.15,32,1,74.654,2.014,7.803,0.638,7.165,64.837,1.136,63.701,1493498344163.000
CSR_apr_MPI,12995,0.15,32,1,56.011,2.471,7.106,0.670,6.436,46.435,1.234,45.201,1493498344163.000
CSR_apr_MPI,12995,0.15,32,1,79.732,2.261,9.248,0.716,8.532,68.223,1.037,67.186,1493498344163.000
CSR_apr_MPI,12995,0.15,32,1,58.435,2.061,6.327,0.580,5.746,50.047,0.953,49.095,1493498344163.000
CSR_apr_MPI,12995,0.15,32,1,64.073,2.274,7.344,0.596,6.749,54.454,1.036,53.418,1493498344163.000
CSR_apr_MPI,12995,0.15,32,1,53.517,2.186,7.087,1.083,6.005,44.244,1.211,43.033,1493498344163.000
CSR_apr_MPI,12995,0.15,32,1,63.208,2.194,7.502,0.947,6.555,53.511,1.340,52.172,1493498344163.000
CSR_apr_MPI,6497,0.15,4,1,35.632,0.500,1.390,0.142,1.248,33.742,0.186,33.556,186610241411.000
CSR_apr_MPI,6497,0.15,4,1,38.797,0.563,1.303,0.136,1.167,36.931,0.189,36.742,186610241411.000
CSR_apr_MPI,6497,0.15,4,1,36.336,0.570,1.294,0.140,1.154,34.473,0.189,34.284,186610241411.000
CSR_apr_MPI,6497,0.15,4,1,45.221,0.582,1.488,0.141,1.347,43.151,0.195,42.956,186610241411.000
CSR_apr_MPI,6497,0.15,4,1,35.248,0.504,1.256,0.149,1.106,33.489,0.218,33.270,186610241411.000
CSR_apr_MPI,6497,0.15,4,1,35.431,0.597,1.337,0.171,1.166,33.497,0.200,33.298,186610241411.000
CSR_apr_MPI,6497,0.15,4,1,36.752,0.651,1.241,0.170,1.071,34.859,0.195,34.664,186610241411.000
CSR_apr_MPI,6497,0.15,4,1,34.126,0.563,1.134,0.138,0.996,32.429,0.190,32.240,186610241411.000
CSR_apr_MPI,6497,0.15,4,1,35.373,0.462,1.073,0.115,0.957,33.838,0.122,33.716,186610241411.000
CSR_apr_MPI,6497,0.15,4,1,38.323,0.515,1.215,0.146,1.069,36.594,0.195,36.398,186610241411.000
CSR_apr_MPI,8192,0.15,8,1,53.085,0.795,2.826,0.227,2.599,49.463,0.312,49.151,374201665190.000
CSR_apr_MPI,8192,0.15,8,1,55.855,0.765,2.225,0.230,1.995,52.865,0.307,52.558,374201665190.000
CSR_apr_MPI,8192,0.15,8,1,37.966,0.817,2.003,0.271,1.732,35.146,0.306,34.840,374201665190.000
CSR_apr_MPI,8192,0.15,8,1,37.631,0.905,2.294,0.272,2.022,34.433,0.325,34.108,374201665190.000
CSR_apr_MPI,8192,0.15,8,1,40.424,1.012,2.747,0.255,2.492,36.665,0.368,36.296,374201665190.000
CSR_apr_MPI,8192,0.15,8,1,47.494,0.810,2.633,0.227,2.406,44.051,0.323,43.728,374201665190.000
CSR_apr_MPI,8192,0.15,8,1,38.885,0.796,2.451,0.225,2.226,35.638,0.322,35.316,374201665190.000
CSR_apr_MPI,8192,0.15,8,1,41.208,0.897,2.323,0.228,2.095,37.989,0.322,37.667,374201665190.000
CSR_apr_MPI,8192,0.15,8,1,36.089,0.815,2.132,0.233,1.900,33.142,0.304,32.838,374201665190.000
CSR_apr_MPI,8192,0.15,8,1,57.036,0.801,2.615,0.227,2.389,53.619,0.329,53.291,374201665190.000
CSR_apr_Hybrid,16384,0.15,16,4,78.310,2.494,18.750,0.832,17.918,57.067,1.170,55.896,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,106.604,3.265,22.671,0.975,21.695,80.668,3.196,77.472,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,76.411,3.414,15.068,1.219,13.850,57.928,4.226,53.702,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,84.333,3.658,15.369,1.021,14.347,65.306,4.199,61.108,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,90.087,2.527,17.609,0.811,16.798,69.951,2.694,67.257,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,92.727,2.478,20.108,0.809,19.299,70.142,3.173,66.969,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,96.347,3.937,17.035,0.849,16.186,75.375,1.927,73.447,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,90.031,3.587,17.447,0.932,16.515,68.997,1.858,67.138,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,95.885,2.528,15.139,1.002,14.137,78.219,2.077,76.141,2993442628723.000
CSR_apr_Hybrid,16384,0.15,16,4,83.416,2.429,17.288,0.869,16.420,63.698,2.135,61.563,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,32,121.553,3.131,5.835,1.071,4.763,112.587,0.684,111.903,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,32,83.733,3.066,4.742,0.816,3.926,75.925,0.650,75.276,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,32,90.896,3.427,6.146,1.192,4.954,81.324,1.007,80.317,2993442628723.000
