type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
CSR_apr_Hybrid,16384,0.15,32,2,59.084,3.028,8.787,0.456,8.331,47.268,1.921,45.347,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,51.036,2.730,7.249,0.416,6.833,41.057,1.875,39.181,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,52.689,2.965,6.490,0.391,6.099,43.234,1.900,41.334,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,50.989,2.605,7.297,0.425,6.872,41.087,2.213,38.873,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,52.625,2.609,7.091,0.409,6.683,42.926,2.209,40.717,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,61.604,3.052,8.540,0.471,8.069,50.012,1.924,48.088,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,58.547,2.593,8.486,0.418,8.068,47.467,2.394,45.073,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,49.178,3.003,6.796,0.390,6.406,39.379,1.929,37.450,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,62.929,3.304,10.390,0.678,9.712,49.235,2.556,46.679,2993442628723.000
CSR_apr_Hybrid,16384,0.15,32,2,58.272,3.030,8.485,0.459,8.026,46.757,1.923,44.834,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,16,49.007,2.403,4.052,0.430,3.622,42.552,0.950,41.601,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,16,54.356,2.733,3.735,0.408,3.327,47.887,1.035,46.852,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,16,63.853,3.073,5.794,0.774,5.020,54.986,1.327,53.659,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,16,60.880,3.067,6.589,0.936,5.653,51.224,1.361,49.864,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,16,49.869,2.745,3.738,0.409,3.329,43.385,1.034,42.351,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,16,69.476,2.765,4.452,0.512,3.940,62.259,1.081,61.177,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,16,59.775,2.735,3.279,0.483,2.796,53.760,1.041,52.719,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,16,55.183,2.667,4.049,0.430,3.619,48.466,0.954,47.513,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,16,51.920,2.411,3.981,0.428,3.552,45.528,0.947,44.581,2993442628723.000
CSR_apr_Hybrid,16384,0.15,4,16,50.296,2.424,4.094,0.418,3.676,43.778,0.951,42.827,2993442628723.000
CSR_apr_Hybrid,8192,0.15,4,2,37.609,0.734,1.416,0.186,1.230,35.458,0.803,34.656,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,38.803,0.740,1.380,0.166,1.214,36.684,0.818,35.865,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,35.685,0.709,1.102,0.125,0.977,33.873,0.675,33.198,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,37.089,0.694,1.147,0.124,1.023,35.248,0.626,34.622,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,50.330,0.729,1.612,0.136,1.476,47.989,0.662,47.327,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,35.576,0.692,1.105,0.127,0.978,33.779,0.720,33.058,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,35.313,0.695,1.110,0.127,0.983,33.507,0.762,32.745,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,35.341,0.702,1.106,0.126,0.980,33.533,0.675,32.858,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,36.714,0.772,1.426,0.199,1.226,34.516,0.763,33.753,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,36.073,0.700,1.090,0.129,0.961,34.284,0.702,33.582,374201665190.000
CSR_apr_Hybrid,10317,0.15,4,4,43.398,1.196,2.376,0.357,2.018,39.827,1.491,38.336,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,40.549,1.111,1.745,0.223,1.523,37.693,1.080,36.612,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,40.660,1.108,1.858,0.259,1.599,37.694,1.283,36.411,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,40.993,1.115,1.728,0.229,1.499,38.149,1.304,36.845,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,46.689,1.240,2.779,0.528,2.251,42.669,1.240,41.429,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,43.178,1.105,2.237,0.233,2.004,39.836,1.054,38.782,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,41.502,1.103,1.990,0.199,1.791,38.408,1.279,37.130,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,42.865,1.233,1.792,0.197,1.595,39.840,1.451,38.388,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,40.518,1.103,1.685,0.220,1.466,37.729,1.275,36.454,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,44.470,1.248,2.935,0.515,2.420,40.287,1.212,39.075,747379617060.000
CSR_apr_Hybrid,12995,0.15,4,8,51.256,1.964,4.009,0.611,3.398,45.283,1.406,43.877,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,66.936,1.751,3.461,0.370,3.091,61.724,1.201,60.522,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,70.045,1.762,4.341,0.476,3.866,63.942,1.224,62.718,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,68.677,1.756,4.344,0.500,3.844,62.577,1.288,61.290,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,69.623,1.757,3.520,0.510,3.011,64.345,1.266,63.079,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,72.014,1.763,3.358,0.364,2.994,66.893,1.230,65.663,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,50.416,1.772,4.237,0.344,3.893,44.407,1.210,43.198,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,48.245,1.762,2.905,0.352,2.553,43.578,1.161,42.417,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,52.001,1.970,4.437,0.582,3.855,45.593,1.386,44.207,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,47.609,1.753,3.216,0.325,2.891,42.640,1.168,41.471,1493498344163.000
CSR_apr_Hybrid,10317,0.15,8,2,43.077,1.273,2.483,0.323,2.160,39.321,0.947,38.373,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,39.640,1.254,2.264,0.191,2.072,36.122,0.772,35.350,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,41.516,1.267,2.032,0.242,1.790,38.217,1.406,36.811,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,39.270,1.131,1.841,0.217,1.625,36.298,1.340,34.959,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,39.308,1.143,1.717,0.193,1.524,36.448,0.781,35.666,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,43.572,1.262,2.685,0.538,2.148,39.625,1.872,37.754,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,44.160,1.312,2.793,0.497,2.296,40.054,1.816,38.238,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,41.636,1.118,2.414,0.211,2.203,38.105,0.779,37.326,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,36.091,0.969,1.431,0.161,1.270,33.692,0.915,32.776,747379617060.000
CSR_apr_Hybrid,10317,0.15,8,2,54.808,1.151,2.685,0.214,2.471,50.972,1.133,49.839,747379617060.000
CSR_apr_Hybrid,12995,0.15,8,4,70.911,1.775,4.434,0.569,3.866,64.701,2.383,62.319,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,51.840,1.812,4.957,0.332,4.625,45.071,1.430,43.641,1493498344163.000
